City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,cabo san lucas,22.8909,-109.9124,299.32,36,20,3.09,MX,1676075553
85,coxim,-18.5067,-54.76,295.95,93,100,1.75,BR,1676075579
86,carnarvon,-24.8667,113.6333,299.8,55,6,9.37,AU,1676075579
87,lata,40.1629,-8.3327,277.64,56,10,3.77,PT,1676075580
88,ouallam,14.3188,2.0866,296.62,10,0,4.44,NE,1676075581
89,sao jose da coroa grande,-8.8978,-35.1478,299.06,77,90,4.27,BR,1676075581
90,tarauaca,-8.1614,-70.7656,295.91,97,52,0.22,BR,1676075582
91,juazeiro,-9.4117,-40.4986,304.25,45,40,4.63,BR,1676075583
92,korla,41.7597,86.1469,273.73,50,100,4.79,CN,1676075583
93,san ramon,37.7799,-121.978,286.56,73,0,7.2,US,1676075584
94,kahului,20.8947,-156.47,298.16,73,75,9.77,US,1676075584
95,new norfolk,-42.7826,147.0587,293.1,48,5,1.67,AU,1676075585
96,torbay,47.6666,-52.7314,269.03,93,100,6.69,CA,1676075586
97,ninghai,29.2892,121.4247,284.1,89,68,0.45,CN,1676075554
98,tahe,52.3333,124.7333,252.59,94,89,0.84,CN,1676075587
99,takoradi,4.8845,-1.7554,299.24,87,2,2.2,GH,1676075588
100,chuy,-33.6971,-53.4616,295.71,85,0,2.88,UY,1676075589
101,kodiak,57.79,-152.4072,275.88,81,100,0.0,US,1676075590
102,iturama,-19.7281,-50.1956,295.09,91,100,2.25,BR,1676075427
103,saldanha,-33.0117,17.9442,293.9,65,0,2.28,ZA,1676075388
104,krasnaya gorka,55.1962,56.6673,261.37,96,100,2.42,RU,1676075591
105,chokurdakh,70.6333,147.9167,227.3,99,66,2.32,RU,1676075594
106,raudeberg,61.9875,5.1352,280.52,39,99,11.09,NO,1676075594
107,ostrovnoy,68.0531,39.5131,268.19,95,100,2.42,RU,1676075595
108,taraz,42.9,71.3667,267.38,63,75,10.0,KZ,1676075341
109,costinesti,43.95,28.6333,266.73,60,1,3.62,RO,1676075353
110,upernavik,72.7868,-56.1549,246.33,93,100,2.61,GL,1676075596
111,jawhar,2.7809,45.5005,294.42,86,4,5.98,SO,1676075596
112,waingapu,-9.6567,120.2641,299.4,80,100,2.51,ID,1676075380
113,khani,41.9563,42.9566,272.91,78,99,1.75,GE,1676075597
114,rochefort,45.9167,-1.0,275.29,85,0,0.45,FR,1676075598
115,airai,-8.9266,125.4092,293.33,78,53,1.75,TL,1676075599
116,coihueco,-36.6167,-71.8333,298.56,38,0,4.63,CL,1676075599
117,dvinskoy,62.1535,45.1175,268.72,92,100,5.01,RU,1676075600
118,aripuana,-9.1667,-60.6333,296.41,96,78,0.74,BR,1676075600
119,whyalla,-33.0333,137.5833,296.17,56,0,5.08,AU,1676075601
120,montmagny,48.9734,2.3469,278.72,90,84,3.09,FR,1676075471
121,shizunai,42.3339,142.3669,273.08,78,77,2.62,JP,1676075601
122,necochea,-38.5473,-58.7368,300.1,54,42,7.05,AR,1676075306
123,helong,42.5397,128.9972,270.74,64,83,1.62,CN,1676075602
124,iqaluit,63.7506,-68.5145,238.0,66,0,3.6,CA,1676075603
125,urdoma,61.7533,48.5442,267.97,94,100,5.56,RU,1676075604
126,northam,51.0333,-4.2167,282.81,98,57,2.64,GB,1676075605
127,avallon,47.4833,3.9,272.57,85,5,1.05,FR,1676075605
128,ambilobe,-13.2,49.05,295.33,94,86,1.16,MG,1676075606
129,metairie,29.9841,-90.1528,287.59,69,100,6.69,US,1676075607
130,hirara,24.8,125.2833,295.3,83,40,4.63,JP,1676075607
131,geraldton,-28.7667,114.6,295.38,64,0,7.72,AU,1676075490
132,changping,40.2186,116.2197,272.95,69,11,0.17,CN,1676075608
133,tiksi,71.6872,128.8694,235.77,99,99,2.33,RU,1676075609
134,asau,46.4333,26.4,260.66,89,28,3.04,RO,1676075609
135,port-gentil,-0.7193,8.7815,300.47,79,100,4.28,GA,1676075610
136,katsuura,35.1333,140.3,283.24,59,0,8.55,JP,1676075475
137,rosetta,31.4044,30.4164,284.7,78,66,5.49,EG,1676075611
138,tuktoyaktuk,69.4541,-133.0374,245.15,76,100,7.72,CA,1676075612
139,sibolga,1.7427,98.7792,297.74,82,80,0.97,ID,1676075612
140,bambous virieux,-20.3428,57.7575,299.38,73,12,4.61,MU,1676075613
141,port blair,11.6667,92.75,296.17,88,28,1.03,IN,1676075614
142,broken hill,-31.95,141.4333,302.68,24,0,4.08,AU,1676075614
143,bourail,-21.5667,165.4833,300.26,74,21,9.74,NC,1676075615
144,garissa,-0.4536,39.6401,297.43,71,14,2.95,KE,1676075615
145,anadyr,64.75,177.4833,240.43,74,20,6.0,RU,1676075616
146,quatre cocos,-20.2078,57.7625,299.31,75,19,4.69,MU,1676075616
147,khatanga,71.9667,102.5,242.42,87,100,4.74,RU,1676075617
148,banda aceh,5.5577,95.3222,298.23,82,86,2.77,ID,1676075617
149,sao filipe,14.8961,-24.4956,294.37,76,100,2.32,CV,1676075618
150,ikorodu,6.6191,3.5041,300.34,81,0,2.69,NG,1676075619
151,gorgan,36.8387,54.4348,270.13,93,0,0.0,IR,1676075619
